"Id","label"
1,22
2,16
3,16
4,16
5,16
6,18
7,18
8,2
9,6
10,6
11,2
12,6
13,22
14,22
15,18
16,1
17,18
18,6
19,18
20,22
21,2
22,1
23,16
24,12
25,12
26,1
27,16
28,18
29,2
30,2
31,18
32,2
33,6
34,1
35,1
36,2
37,1
38,2
39,1
40,18
41,16
42,22
43,2
44,6
45,12
46,6
47,12
48,22
49,6
50,6
51,6
52,1
53,12
54,12
55,18
56,6
57,18
58,22
59,12
60,18
61,6
62,22
63,6
64,22
65,18
66,18
67,2
68,22
69,12
70,16
71,6
72,2
73,12
74,18
75,1
76,18
77,2
78,22
79,6
80,1
81,2
82,2
83,1
84,6
85,22
86,18
87,1
88,12
89,6
90,2
91,22
92,16
93,22
94,22
95,2
96,22
97,1
98,22
99,22
100,12
101,12
102,2
103,16
104,6
105,22
106,22
107,2
108,12
109,18
110,2
111,12
112,2
113,22
114,1
115,16
116,2
117,1
118,12
119,18
120,18
121,6
122,6
123,22
124,16
125,12
126,16
127,18
128,2
129,22
130,2
131,6
132,16
133,18
134,6
135,12
136,2
137,18
138,2
139,6
140,12
141,12
142,18
143,12
144,6
145,22
146,18
147,18
148,22
149,12
150,6
151,18
152,6
153,1
154,18
155,16
156,6
157,6
158,16
159,12
160,22
161,1
162,22
163,22
164,18
165,16
166,22
167,6
168,18
169,1
170,1
171,6
172,2
173,2
174,16
175,16
176,16
177,12
178,22
179,2
180,1
181,1
182,12
183,1
184,22
185,12
186,12
187,22
188,2
189,18
190,16
191,18
192,1
193,1
194,16
195,6
196,18
197,12
198,1
199,12
200,2
201,1
202,18
203,22
204,2
205,2
206,6
207,1
208,1
209,12
210,12
211,16
212,18
213,6
214,1
215,18
216,6
217,18
218,18
219,12
220,2
221,1
222,1
223,18
224,22
225,22
226,2
227,1
228,1
229,2
230,18
231,6
232,16
233,22
234,6
235,1
236,16
237,22
238,1
239,18
240,16
241,22
242,16
243,2
244,18
245,18
246,22
247,22
248,18
249,18
250,1
251,1
252,6
253,22
254,12
255,18
256,12
257,12
258,2
259,22
260,6
261,2
262,1
263,6
264,16
265,6
266,6
267,18
268,2
269,2
270,18
271,6
272,2
273,22
274,12
275,18
276,18
277,6
278,6
279,2
280,22
281,12
282,6
283,2
284,6
285,2
286,22
287,22
288,18
289,1
290,18
291,12
292,22
293,22
294,6
295,16
296,18
297,1
298,2
299,16
300,16
301,2
302,22
303,12
304,6
305,16
306,6
307,16
308,2
309,2
310,18
311,16
312,6
313,1
314,18
315,18
316,2
317,2
318,16
319,22
320,1
321,1
322,22
323,22
324,16
325,12
326,18
327,18
328,2
329,6
330,2
331,2
332,6
333,6
334,1
335,1
336,1
337,1
338,2
339,18
340,18
341,22
342,2
343,6
344,6
345,18
346,18
347,12
348,16
349,12
350,16
351,6
352,6
353,1
354,22
355,16
356,12
357,12
358,12
359,2
360,22
361,2
362,22
363,12
364,6
365,18
366,22
367,1
368,1
369,12
370,1
371,1
372,12
373,6
374,16
375,2
376,2
377,1
378,1
379,1
380,1
381,1
382,18
383,6
384,6
385,6
386,2
387,2
388,16
389,16
390,12
391,6
392,22
393,2
394,22
395,18
396,16
397,16
398,22
399,2
400,1
401,1
402,2
403,6
404,1
405,2
406,16
407,1
408,22
409,1
410,12
411,1
412,18
413,6
414,18
415,1
416,6
417,12
418,12
419,12
420,2
421,6
422,16
423,22
424,12
425,2
426,6
427,18
428,18
429,16
430,6
431,22
432,16
433,12
434,12
435,18
436,22
437,16
438,2
439,1
440,22
441,2
442,2
443,18
444,22
445,18
446,16
447,6
448,6
449,6
450,6
451,16
452,16
453,22
454,12
455,12
456,2
457,12
458,16
459,6
460,6
461,18
462,18
463,22
464,2
465,18
466,22
467,2
468,2
469,16
470,2
471,1
472,18
473,18
474,6
475,1
476,18
477,16
478,1
479,2
480,2
481,1
482,2
483,16
484,12
485,16
486,6
487,22
488,6
489,2
490,18
491,1
492,12
493,2
494,1
495,22
496,22
497,16
498,18
499,22
500,12
